CNC,WFM,0.049993
HBI,KLAC,0.049992
AMZN,IPG,0.049975
CBS,CL,0.049969
MON,MNST,0.049964
EXR,WMB,0.049952
AVGO,PNW,0.049937
AMGN,CBG,0.049937
GWW,PEG,0.049936
FE,PG,0.049922
HBI,NUE,0.049913
DPS,M,0.049913
CTSH,LM,0.049907
FLIR,LLY,0.049906
AVGO,TJX,0.049906
GOOGL,TSO,0.049896
EW,PFG,0.049895
APH,CTXS,0.049864
AXP,KMX,0.049850
CSCO,NBL,0.049843
COTY,NWSA,0.049836
CNC,PM,0.049833
ADS,COH,0.049827
AMGN,SLB,0.049809
LH,MJN,0.049806
LRCX,MTD,0.049803
NDAQ,SRCL,0.049799
BIIB,EXC,0.049785
FLS,VAR,0.049782
CSCO,MJN,0.049770
CF,VFC,0.049733
COTY,DVA,0.049716
DHR,NWL,0.049715
COTY,USB,0.049706
TROW,WY,0.049700
GOOGL,TROW,0.049696
FCX,HCN,0.049696
CI,ZION,0.049690
F,HIG,0.049676
RHT,TRIP,0.049672
AET,FOXA,0.049670
HAR,K,0.049664
GOOGL,SLG,0.049662
KO,ITW,0.049658
SBUX,TSO,0.049627
GOOGL,FTR,0.049621
REGN,RCL,0.049619
DHI,NSC,0.049616
FISV,JNJ,0.049609
EXR,HOLX,0.049607
CL,PNW,0.049604
ADI,SPG,0.049602
ADSK,NI,0.049583
APA,MTD,0.049574
BIIB,TRV,0.049573
L,WM,0.049572
GOOGL,PBI,0.049563
CME,XOM,0.049510
K,VZ,0.049484
DOV,KIM,0.049484
AZO,M,0.049457
XLNX,YUM,0.049449
CAG,SRE,0.049446
BIIB,NUE,0.049437
OXY,SPG,0.049436
GILD,LM,0.049426
APA,SPG,0.049425
MO,SO,0.049422
NBL,SHW,0.049405
BLL,NTAP,0.049399
AEE,FL,0.049390
BIIB,GPS,0.049371
CI,DFS,0.049368
CAH,SYY,0.049343
GOOGL,WU,0.049341
NTAP,NKE,0.049337
AFL,DHR,0.049336
PPG,PGR,0.049333
GRMN,NUE,0.049329
CSX,PFG,0.049326
HBI,PRU,0.049321
AEE,CINF,0.049320
CI,UNP,0.049291
AKAM,MCD,0.049290
DHR,WAT,0.049255
AVGO,K,0.049248
DISCA,WFC,0.049224
ETR,PNW,0.049222
PX,SRE,0.049221
CNC,ICE,0.049216
IR,VMC,0.049214
FLR,PEG,0.049211
BLK,NI,0.049178
FE,REGN,0.049172
